anon_donor_id,zip,status,do_not_mail,do_not_call,organisation,date,amount,form,campaign,target
560,19422,Active,FALSE,FALSE,N,06/10/2019,5000,Check,Foundation,Gift
139,NA,Active,FALSE,FALSE,N,06/10/2019,500,Check,Fall Towns,Gift
825,19096,Active,FALSE,FALSE,N,06/11/2019,25,Check,Sprg Evt,Gift
972,19096,Active,FALSE,FALSE,N,06/12/2019,45,Check,Sprg Evt,Gift
921,19312,Active,FALSE,FALSE,N,06/15/2019,75,Check,Fall Towns,Gift
727,19066,Active,FALSE,FALSE,N,06/18/2019,50,Check,Fall Towns,Gift
92,19003,Active,FALSE,FALSE,N,06/19/2019,40,Check,Clients,Gift
135,19003,Active,FALSE,FALSE,Y,06/21/2019,285.7,Check,Escort Dri,Gift
710,19072,Active,FALSE,FALSE,N,06/22/2019,25,Check,Misc,Gift
120,19083,Active,FALSE,FALSE,N,06/25/2019,4000,Check,Sprg Evt,Gift
396,19010,Active,FALSE,FALSE,N,06/27/2019,8000,Check,AMCRC,Gift
396,19010,Active,FALSE,FALSE,N,06/27/2019,100,Check,Board,Gift
396,19010,Active,FALSE,FALSE,N,06/27/2019,400,Check,Emerg fund,Gift
384,NA,Active,FALSE,FALSE,N,06/27/2019,16,Check,Misc,Gift
420,19096,Active,FALSE,FALSE,N,06/28/2019,50,Check,Mem-hon,Gift
15,19010,Active,FALSE,FALSE,N,06/28/2019,3000,Check,Church,Gift
203,19085,Active,FALSE,FALSE,N,06/29/2019,500,Check,Fall Towns,Gift
1022,19072,Active,FALSE,FALSE,N,07/02/2019,20,Check,Misc,Gift
592,19003,Active,FALSE,FALSE,N,07/08/2019,50,Check,Fall Towns,Gift
482,06824,Active,FALSE,FALSE,N,07/08/2019,5000,Check,Foundation,Gift
283,19072,Active,FALSE,FALSE,N,07/08/2019,100,Check,Fall Towns,Gift
707,19041,Active,FALSE,FALSE,N,07/11/2019,250,Check,Fall Towns,Gift
835,19072,Active,FALSE,FALSE,N,07/11/2019,100,Check,Board,Gift
207,NA,Active,FALSE,FALSE,N,07/14/2019,30,Check,Fall Towns,Gift
